MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_BBQ_weather
8,2.6,9.4,0.91,1.0273,0.2,0.2,0.0,1.7,-0.5,2.6,False
6,2.1,8.2,0.9,1.0321,0.66,0.0,6.1,1.9,-0.2,5.8,False
7,2.1,6.9,0.92,1.0317,0.28,0.0,0.4,-0.4,-3.3,0.9,False
6,2.7,11.7,0.75,1026,0.58,0.04,4.5,3.8,-2.8,6.6,False
5,3.3,13.2,0.87,1.0248,0.26,0.0,0.2,5.3,4.3,7.3,False
3,0.9,3.5,0.99,1.0256,0.49,0.0,2.8,-1.0,-3.4,4.3,False
5,1.4,6.1,0.82,1027,0.48,0.0,2.5,3.4,-2.4,7.6,False
2,1.8,5.6,0.78,1.0253,0.58,0.0,4.2,2.7,0.4,8.6,False
8,1.0,3.4,0.91,1.0255,0.21,0.13,0.0,1.8,-1.0,2.5,False
8,1.8,5.5,0.95,1034,0.21,0.0,0.0,-0.6,-1.6,2.1,False
8,2.3,6.0,0.91,1.0392,0.21,0.0,0.0,-0.6,-1.3,0.0,False
8,2.0,5.8,0.88,1.0346,0.21,0.0,0.0,-2.4,-3.0,-0.2,False
3,1.7,5.4,0.81,1.0259,0.67,0.0,5.2,-2.9,-4.7,0.3,False
0,1.5,3.8,0.83,1.0261,0.8,0.0,7.8,-4.1,-7.8,0.8,False
8,1.2,3.5,0.94,1.0333,0.22,0.0,0.0,-5.8,-7.8,-4.6,False
6,1.5,5.6,0.83,1.0358,0.22,0.0,0.0,-2.9,-5.5,-1.6,False
8,6.7,16.6,0.86,1.0278,0.23,0.65,0.0,1.8,-3.0,3.1,False
8,7.2,20.2,0.96,1.0196,0.23,0.78,0.0,1.7,0.0,3.7,False
3,3.7,9.6,0.81,1.0291,0.72,0.0,5.4,-1.4,-2.2,1.8,False
8,4.5,13.9,0.76,1.0314,0.3,0.0,0.2,-0.6,-2.9,0.5,False
8,7.8,19.6,0.88,1.0241,0.24,0.75,0.0,0.1,-0.5,0.6,False
8,3.8,10.4,0.97,1.0152,0.24,0.52,0.0,0.3,-0.8,0.9,False
7,3.0,8.1,0.92,1.0134,0.29,0.24,0.1,-2.8,-5.5,0.5,False
1,1.8,4.9,0.8,1.0257,0.91,0.0,8.1,-10.2,-12.4,-5.5,False
1,1.1,4.8,0.82,1.0328,0.93,0.0,8.4,-12.2,-16.4,-5.9,False
0,1.2,3.7,0.78,1.0368,0.97,0.0,8.8,-9.2,-15.6,-3.3,False
0,2.2,6.9,0.71,1.0338,0.99,0.0,9.0,-4.3,-10.4,2.2,False
4,3.9,11.4,0.69,1025,0.84,0.0,6.0,2.2,-9.2,5.2,False
7,9.0,23.4,0.68,1.0126,0.27,0.09,0.0,6.0,3.1,7.2,False
8,8.6,25.4,0.9,1.0153,0.27,0.92,0.0,7.4,6.6,8.2,False
6,7.1,21.4,0.72,1026,0.62,0.0,2.5,7.6,6.4,10.5,False
2,2.2,8.4,0.63,1024,1.06,0.0,9.1,8.6,1.2,14.5,False
7,3.6,11.1,0.7,1.0193,0.64,0.44,2.6,7.8,6.4,11.9,False
6,4.3,11.6,0.78,1.0332,0.29,0.0,0.0,3.6,1.4,6.4,False
4,2.3,7.4,0.68,1.0383,1.07,0.3,8.6,3.8,0.6,7.3,False
6,3.2,11.2,0.85,1.0346,0.41,0.47,0.4,7.2,3.3,10.5,False
6,1.7,6.6,0.69,1.0268,0.96,0.0,6.4,8.2,1.2,14.5,False
7,4.4,16.1,0.68,1.0222,0.3,0.02,0.0,7.3,5.9,9.6,False
8,8.1,21.3,0.76,1014,0.54,0.89,1.1,9.9,6.1,11.8,False
6,6.8,18.9,0.78,1.0223,0.82,0.03,3.9,3.4,1.8,10.4,False
4,3.4,12.0,0.64,1.0269,1.18,0.29,9.0,4.6,2.1,10.1,False
8,2.7,11.1,0.86,1.0281,0.32,0.19,0.0,2.9,1.4,6.0,False
5,2.7,11.4,0.9,1.0279,0.33,0.0,0.0,1.5,0.5,2.9,False
8,6.2,17.4,0.84,1.0226,0.52,0.51,0.7,3.8,1.5,6.7,False
4,2.8,10.2,0.79,1.0253,1.06,0.33,6.3,3.4,0.1,5.9,False
8,4.3,11.7,0.88,1.0186,0.34,0.15,0.0,6.3,3.9,7.4,False
7,4.8,18.5,0.74,1.0073,0.65,0.28,1.5,3.5,1.4,6.7,False
7,5.4,14.0,0.79,1.01,0.63,0.16,1.3,0.0,-0.9,2.1,False
5,4.0,11.9,0.84,1.0124,0.5,0.46,0.4,2.2,-1.2,4.5,False
7,4.3,14.6,0.92,1.0088,0.56,0.56,0.7,3.3,2.0,5.4,False
8,4.0,10.6,0.97,1.0221,0.37,0.37,0.0,0.2,-0.5,2.8,False
7,2.5,8.9,0.79,1.0315,0.95,0.05,3.8,-0.8,-2.8,1.8,False
5,1.5,4.8,0.69,1.0282,1.02,0.0,4.4,0.3,-3.3,3.5,False
7,2.5,6.6,0.72,1.0286,0.77,0.0,1.9,2.0,-0.9,4.7,False
8,3.9,12.1,0.72,1.0292,0.46,0.53,0.1,4.6,1.7,7.1,False
7,5.3,22.0,0.84,1.0264,0.55,0.4,0.4,6.4,4.7,9.8,False
6,1.5,5.0,0.76,1.0331,1.2,0.01,5.9,4.3,0.1,8.4,False
1,1.9,6.6,0.69,1.0302,1.56,0.0,10.4,7.3,1.7,14.0,False
1,2.4,7.3,0.37,1.0221,1.59,0.01,10.5,11.3,1.4,19.6,False
8,1.7,6.6,0.74,1.0183,0.8,0.05,1.7,8.4,6.6,11.5,False
8,4.1,14.1,0.83,1.0067,0.43,0.39,0.0,4.8,2.6,8.4,False
5,4.4,13.9,0.78,1.0228,1.17,0.04,4.7,2.0,0.7,5.0,False
7,7.5,19.9,0.52,1.0154,1.34,0.35,6.1,7.2,1.1,9.8,False
7,6.3,18.6,0.81,1019,0.92,0.16,2.4,1.4,-0.5,7.8,False
5,4.9,14.2,0.66,1.0342,0.89,0.0,2.1,-0.3,-2.7,1.9,False
1,1.9,6.0,0.48,1.0327,1.86,0.0,11.0,3.5,-2.1,9.7,False
2,3.6,11.8,0.56,1.0283,1.86,0.03,10.8,6.5,-0.8,11.6,False
8,7.7,18.5,0.69,1026,0.47,0.01,0.0,9.1,6.1,10.9,False
7,8.7,19.8,0.64,1.0224,0.78,0.18,1.2,11.6,9.2,15.2,False
8,5.3,15.5,0.84,1.0254,0.65,0.07,0.5,7.4,5.9,10.4,False
7,6.8,18.2,0.67,1.0186,0.64,0.02,0.4,9.4,7.2,13.0,False
4,2.3,10.1,0.68,1.0256,1.35,0.0,5.0,5.8,4.1,10.4,False
3,1.4,5.8,0.72,1.0264,1.74,0.01,8.4,5.7,-0.5,11.1,False
8,4.8,14.9,0.81,1.0219,0.57,1.07,0.1,8.2,3.8,10.5,False
6,5.6,15.5,0.66,1.0269,1.2,0.22,3.5,2.9,-0.4,8.6,False
8,6.2,16.2,0.94,1.0267,0.52,1.89,0.0,3.0,0.4,4.1,False
8,5.5,15.4,0.98,1.0238,0.53,2.55,0.0,5.2,0.0,5.5,False
8,2.1,7.5,0.94,1.0254,0.54,0.3,0.0,3.5,1.1,5.5,False
7,2.3,7.5,0.76,1029,0.67,0.05,0.3,3.4,2.7,6.0,False
4,1.4,5.1,0.63,1.0285,1.84,0.0,8.2,4.7,-0.5,8.0,False
2,1.5,5.3,0.64,1.0232,2.19,0.0,11.3,6.8,0.5,13.0,False
0,1.9,8.4,0.61,1.0198,2.25,0.0,11.7,8.8,0.2,15.9,False
6,2.2,6.5,0.48,1.0156,2.0,0.0,9.1,12.2,5.3,17.2,False
7,1.9,10.3,0.68,1.0128,1.09,0.39,2.1,10.6,8.0,15.6,False
3,2.1,5.8,0.68,1.0165,1.69,0.0,6.2,9.5,5.9,14.3,False
7,2.4,9.5,0.86,1.0129,0.88,0.6,0.9,5.4,4.8,9.7,False
8,1.8,6.5,0.95,1.0078,0.59,0.59,0.0,3.8,3.5,6.3,False
8,2.7,8.1,0.82,1.0114,0.66,0.0,0.1,4.9,3.2,7.0,False
8,4.8,14.0,0.85,1006,0.86,0.92,0.7,5.8,3.1,10.1,False
8,9.4,21.0,0.92,1.0085,0.61,1.22,0.0,2.8,2.2,4.8,False
5,4.6,15.0,0.67,1.0096,1.67,0.0,5.4,6.2,3.0,11.3,False
7,2.0,9.0,0.82,1.0077,1.19,0.02,2.2,5.3,0.6,9.0,False
4,2.8,9.2,0.59,1006,2.39,0.0,11.0,8.6,1.5,14.9,False
5,2.3,6.6,0.48,0.9942,2.0,0.0,7.6,13.4,4.0,21.2,True
4,2.2,9.0,0.58,0.9935,2.24,0.1,9.4,12.6,9.3,18.4,False
8,3.0,9.6,0.87,1.0032,0.91,1.59,0.7,8.5,7.0,11.6,False
7,3.1,10.8,0.6,1.0242,1.39,0.0,3.0,2.2,0.1,7.5,False
4,1.7,7.0,0.59,1.0304,2.62,0.0,12.3,5.8,-1.2,9.7,False
4,2.1,6.6,0.56,1.0243,2.14,0.0,8.1,7.2,1.4,11.8,False
5,3.2,8.4,0.58,1.0122,2.6,0.0,11.8,8.6,2.2,13.8,False
6,2.2,6.4,0.58,1.0068,2.24,0.0,8.6,9.6,3.4,14.2,False
7,2.0,9.8,0.8,0.9991,1.35,0.01,2.5,9.0,5.9,12.5,False
6,3.5,12.2,0.82,0.9977,1.04,0.75,1.0,5.6,3.9,9.6,False
7,1.8,7.2,0.85,1004,0.7,0.47,0.0,7.1,3.0,8.5,False
4,2.2,7.6,0.65,1002,2.52,0.0,10.4,13.6,5.9,19.0,True
6,3.5,15.8,0.68,1.0017,2.0,0.0,6.3,8.9,6.4,20.2,True
5,3.2,11.0,0.45,1.0038,2.4,0.0,9.2,12.4,4.8,18.3,True
7,3.8,10.1,0.71,1.0051,1.39,0.66,2.4,9.8,6.9,16.0,False
8,2.3,6.5,0.81,1.0122,0.73,0.11,0.0,8.2,5.3,10.4,False
6,2.2,6.5,0.74,1.0122,1.05,0.0,0.8,10.5,6.9,13.7,False
0,1.9,8.3,0.73,1.0158,2.81,0.0,12.0,12.7,4.6,18.4,True
3,1.9,8.2,0.56,1.0164,2.88,0.0,12.5,16.2,8.5,23.2,True
1,1.7,6.8,0.46,1.0132,2.92,0.0,12.7,18.4,9.9,26.4,True
5,2.2,10.6,0.5,1008,2.44,0.03,8.8,19.3,10.4,25.0,False
8,4.5,13.1,0.96,1.0134,0.76,0.07,0.0,8.9,7.0,18.8,False
3,2.0,8.1,0.74,1.0145,2.11,0.0,6.3,12.6,8.6,17.9,False
1,1.8,6.2,0.66,1.0119,2.87,0.0,11.8,15.9,7.2,23.6,True
5,2.2,7.7,0.72,1.0098,1.59,0.0,3.0,16.5,9.5,19.5,True
7,2.4,10.5,0.49,1.0054,2.26,0.0,7.1,19.6,10.7,27.5,True
8,2.2,7.5,0.66,1.0125,2.14,0.0,6.2,16.9,13.1,23.2,True
7,2.1,6.1,0.9,1.0188,0.79,0.0,0.0,14.4,13.6,17.0,False
6,1.4,11.3,0.79,1.0166,1.9,0.09,4.0,15.3,11.7,22.9,False
3,2.2,10.3,0.69,1.0159,2.47,0.01,7.7,16.6,9.8,22.7,False
5,1.9,11.4,0.69,1.0166,2.7,1.66,9.4,15.8,9.3,22.8,False
7,1.8,8.9,0.91,1.0176,1.82,0.75,3.4,14.3,12.9,20.6,False
2,2.2,8.7,0.71,1.0151,2.96,0.0,11.4,16.4,10.7,22.0,True
4,1.8,11.1,0.78,1.0138,2.81,1.82,10.0,16.1,10.3,23.9,False
4,1.4,6.4,0.64,1.0148,3.15,0.0,12.8,17.6,9.9,24.5,True
7,2.1,9.5,0.68,1.0165,2.08,0.14,4.7,17.1,11.9,23.4,False
2,1.9,8.3,0.63,1.0175,3.19,0.0,13.0,19.0,12.5,24.9,True
2,1.6,7.0,0.52,1.0148,3.25,0.0,13.4,21.4,12.3,27.3,True
4,1.8,6.2,0.5,1.0136,3.18,0.0,12.7,22.0,14.0,27.6,True
7,2.8,10.0,0.88,1.0185,0.96,1.22,0.1,15.4,14.0,21.2,False
4,2.4,7.7,0.78,1.0216,2.43,0.0,6.7,15.6,13.8,20.1,True
0,3.1,10.3,0.5,1.0228,3.45,0.0,14.8,16.3,8.3,23.0,True
1,1.5,5.1,0.52,1.0206,3.45,0.0,14.7,18.5,8.5,25.7,True
5,1.6,6.1,0.49,1.0167,3.33,0.0,13.6,22.1,13.3,27.1,True
4,2.7,15.1,0.62,1.0131,3.11,9.79,11.6,18.6,13.7,27.8,False
7,2.4,8.9,0.91,1012,0.87,1.38,0.0,12.1,10.7,15.1,False
7,3.2,10.3,0.72,1.0119,2.12,0.61,4.5,11.2,8.0,14.7,False
6,3.4,18.4,0.76,1.0134,2.29,0.39,5.5,9.2,6.2,14.3,False
5,2.0,14.8,0.61,1.0107,2.7,0.24,8.2,13.6,5.3,17.9,False
8,4.5,14.1,0.79,1.0172,1.24,0.03,0.6,10.2,7.7,13.5,False
3,2.0,6.2,0.63,1.0211,3.03,0.0,10.6,13.8,7.8,18.6,True
2,2.0,7.4,0.6,1017,3.47,0.0,14.2,17.5,8.1,22.9,True
7,2.9,10.1,0.6,1015,2.41,0.03,6.1,18.6,11.6,24.7,False
6,2.5,9.1,0.77,1.0157,2.67,0.03,7.8,18.2,12.9,22.1,False
7,2.5,17.8,0.85,1.0159,1.42,0.2,1.1,13.2,11.1,19.4,False
7,2.8,11.9,0.8,1.0126,2.18,0.68,4.6,13.9,9.9,19.3,False
7,3.1,18.1,0.82,1.0175,1.84,0.4,2.8,9.8,7.4,13.0,False
7,2.4,11.1,0.7,1.0176,2.51,2.08,6.6,12.4,7.6,16.5,False
6,3.1,13.6,0.89,1.0183,1.33,0.18,0.8,11.4,10.0,14.8,False
2,1.6,7.4,0.64,1.0249,3.34,0.0,13.5,16.6,6.7,22.0,True
4,1.7,5.2,0.61,1.0215,3.28,0.0,13.0,20.1,12.1,26.9,True
3,2.5,12.7,0.56,1.0185,3.42,0.06,14.1,22.2,13.9,28.6,False
4,2.0,13.8,0.72,1.0188,2.38,1.19,6.7,20.8,15.3,26.5,False
5,2.3,11.5,0.65,1015,3.12,0.67,11.7,21.3,14.7,28.5,False
8,2.8,10.2,0.96,1.0194,0.87,0.83,0.1,13.4,11.9,19.0,False
4,3.5,14.8,0.66,1.0235,2.62,0.0,8.2,14.4,10.9,18.7,True
1,3.1,9.6,0.56,1021,3.51,0.0,14.7,17.6,9.7,22.5,True
1,2.5,9.4,0.62,1.0154,3.57,0.0,15.1,21.7,13.0,28.2,True
3,1.6,6.5,0.52,1.0128,2.98,0.0,10.6,24.3,16.9,29.8,True
6,2.7,11.3,0.65,1013,2.63,0.0,8.2,22.0,15.7,30.1,True
6,2.2,8.3,0.78,1.0248,1.85,0.0,3.6,19.6,16.5,23.8,True
5,2.6,14.8,0.63,1023,3.28,0.31,12.8,23.7,15.8,29.6,False
4,3.5,13.2,0.69,1.0228,3.12,0.01,11.6,20.2,16.3,26.4,False
7,4.1,14.2,0.72,1.0227,1.57,0.11,2.3,18.1,15.8,22.5,False
5,3.5,10.9,0.59,1.0257,2.62,0.0,8.1,14.8,12.4,19.4,True
1,1.9,6.9,0.44,1.0295,3.44,0.0,14.0,15.6,9.1,20.3,True
