,MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_BBQ_weather
0,8,2.6,9.4,0.91,1.0273,0.2,0.2,0.0,1.7,-0.5,2.6,0
1,6,2.1,8.2,0.9,1.0321,0.66,0.0,6.1,1.9,-0.2,5.8,0
2,7,2.1,6.9,0.92,1.0317,0.28,0.0,0.4,-0.4,-3.3,0.9,0
4,5,3.3,13.2,0.87,1.0248,0.26,0.0,0.2,5.3,4.3,7.3,0
5,3,0.9,3.5,0.99,1.0256,0.49,0.0,2.8,-1.0,-3.4,4.3,0
7,2,1.8,5.6,0.78,1.0253,0.58,0.0,4.2,2.7,0.4,8.6,0
8,8,1.0,3.4,0.91,1.0255,0.21,0.13,0.0,1.8,-1.0,2.5,0
10,8,2.3,6.0,0.91,1.0392,0.21,0.0,0.0,-0.6,-1.3,0.0,0
11,8,2.0,5.8,0.88,1.0346,0.21,0.0,0.0,-2.4,-3.0,-0.2,0
12,3,1.7,5.4,0.81,1.0259,0.67,0.0,5.2,-2.9,-4.7,0.3,0
13,0,1.5,3.8,0.83,1.0261,0.8,0.0,7.8,-4.1,-7.8,0.8,0
14,8,1.2,3.5,0.94,1.0333,0.22,0.0,0.0,-5.8,-7.8,-4.6,0
15,6,1.5,5.6,0.83,1.0358,0.22,0.0,0.0,-2.9,-5.5,-1.6,0
18,3,3.7,9.6,0.81,1.0291,0.72,0.0,5.4,-1.4,-2.2,1.8,0
19,8,4.5,13.9,0.76,1.0314,0.3,0.0,0.2,-0.6,-2.9,0.5,0
21,8,3.8,10.4,0.97,1.0152,0.24,0.52,0.0,0.3,-0.8,0.9,0
22,7,3.0,8.1,0.92,1.0134,0.29,0.24,0.1,-2.8,-5.5,0.5,0
23,1,1.8,4.9,0.8,1.0257,0.91,0.0,8.1,-10.2,-12.4,-5.5,0
25,0,1.2,3.7,0.78,1.0368,0.97,0.0,8.8,-9.2,-15.6,-3.3,0
26,0,2.2,6.9,0.71,1.0338,0.99,0.0,9.0,-4.3,-10.4,2.2,0
32,7,3.6,11.1,0.7,1.0193,0.64,0.44,2.6,7.8,6.4,11.9,0
33,6,4.3,11.6,0.78,1.0332,0.29,0.0,0.0,3.6,1.4,6.4,0
34,4,2.3,7.4,0.68,1.0383,1.07,0.3,8.6,3.8,0.6,7.3,0
35,6,3.2,11.2,0.85,1.0346,0.41,0.47,0.4,7.2,3.3,10.5,0
36,6,1.7,6.6,0.69,1.0268,0.96,0.0,6.4,8.2,1.2,14.5,0
37,7,4.4,16.1,0.68,1.0222,0.3,0.02,0.0,7.3,5.9,9.6,0
40,4,3.4,12.0,0.64,1.0269,1.18,0.29,9.0,4.6,2.1,10.1,0
41,8,2.7,11.1,0.86,1.0281,0.32,0.19,0.0,2.9,1.4,6.0,0
42,5,2.7,11.4,0.9,1.0279,0.33,0.0,0.0,1.5,0.5,2.9,0
44,4,2.8,10.2,0.79,1.0253,1.06,0.33,6.3,3.4,0.1,5.9,0
45,8,4.3,11.7,0.88,1.0186,0.34,0.15,0.0,6.3,3.9,7.4,0
46,7,4.8,18.5,0.74,1.0073,0.65,0.28,1.5,3.5,1.4,6.7,0
48,5,4.0,11.9,0.84,1.0124,0.5,0.46,0.4,2.2,-1.2,4.5,0
49,7,4.3,14.6,0.92,1.0088,0.56,0.56,0.7,3.3,2.0,5.4,0
50,8,4.0,10.6,0.97,1.0221,0.37,0.37,0.0,0.2,-0.5,2.8,0
51,7,2.5,8.9,0.79,1.0315,0.95,0.05,3.8,-0.8,-2.8,1.8,0
52,5,1.5,4.8,0.69,1.0282,1.02,0.0,4.4,0.3,-3.3,3.5,0
53,7,2.5,6.6,0.72,1.0286,0.77,0.0,1.9,2.0,-0.9,4.7,0
54,8,3.9,12.1,0.72,1.0292,0.46,0.53,0.1,4.6,1.7,7.1,0
56,6,1.5,5.0,0.76,1.0331,1.2,0.01,5.9,4.3,0.1,8.4,0
57,1,1.9,6.6,0.69,1.0302,1.56,0.0,10.4,7.3,1.7,14.0,0
58,1,2.4,7.3,0.37,1.0221,1.59,0.01,10.5,11.3,1.4,19.6,0
59,8,1.7,6.6,0.74,1.0183,0.8,0.05,1.7,8.4,6.6,11.5,0
60,8,4.1,14.1,0.83,1.0067,0.43,0.39,0.0,4.8,2.6,8.4,0
61,5,4.4,13.9,0.78,1.0228,1.17,0.04,4.7,2.0,0.7,5.0,0
64,5,4.9,14.2,0.66,1.0342,0.89,0.0,2.1,-0.3,-2.7,1.9,0
65,1,1.9,6.0,0.48,1.0327,1.86,0.0,11.0,3.5,-2.1,9.7,0
66,2,3.6,11.8,0.56,1.0283,1.86,0.03,10.8,6.5,-0.8,11.6,0
69,8,5.3,15.5,0.84,1.0254,0.65,0.07,0.5,7.4,5.9,10.4,0
71,4,2.3,10.1,0.68,1.0256,1.35,0.0,5.0,5.8,4.1,10.4,0
72,3,1.4,5.8,0.72,1.0264,1.74,0.01,8.4,5.7,-0.5,11.1,0
77,8,2.1,7.5,0.94,1.0254,0.54,0.3,0.0,3.5,1.1,5.5,0
79,4,1.4,5.1,0.63,1.0285,1.84,0.0,8.2,4.7,-0.5,8.0,0
80,2,1.5,5.3,0.64,1.0232,2.19,0.0,11.3,6.8,0.5,13.0,0
81,0,1.9,8.4,0.61,1.0198,2.25,0.0,11.7,8.8,0.2,15.9,0
82,6,2.2,6.5,0.48,1.0156,2.0,0.0,9.1,12.2,5.3,17.2,0
83,7,1.9,10.3,0.68,1.0128,1.09,0.39,2.1,10.6,8.0,15.6,0
84,3,2.1,5.8,0.68,1.0165,1.69,0.0,6.2,9.5,5.9,14.3,0
85,7,2.4,9.5,0.86,1.0129,0.88,0.6,0.9,5.4,4.8,9.7,0
86,8,1.8,6.5,0.95,1.0078,0.59,0.59,0.0,3.8,3.5,6.3,0
